N,ID,JName,SType,MLV,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,HP,Item,Cast,CastLv,CastLim,Range,Ele,Dat1_1,Dat1_2,Dat1_3,Dat1_4,Dat1_5,Dat1_6,Dat1_7,Dat1_8,Dat1_9,Dat1_10,Dat2_1,Dat2_2,Dat2_3,Dat2_4,Dat2_5,Dat2_6,Dat2_7,Dat2_8,Dat2_9,Dat2_10,Range2,Icon,Job1,Req1_1,RLV1_1,Req1_2,RLV1_2,Req1_3,RLV1_3,Req1_4,RLV1_4,Req1_5,RLV1_5,Job2,Req2_1,RLV2_1,Req2_2,RLV2_2,Req2_3,RLV2_3,Req2_4,RLV2_4,Req2_5,RLV2_5,B1,BLV1,B2,BLV2,B3,BLV3,B4,BLV4,B5,BLV5,UnKnown
241,AM_CULTIVATION,Cultivation,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,242,3,243,1,240,3,,,,,,,,,,,,,,,,,,,,,,,,,,
242,AM_FLAMECONTROL,Flame_Control,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,239,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,AM_CALLHOMUN,Call_Homunculus,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,AM_REST,Sabbath,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,239,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,AM_DRILLMASTER,Drillmaster,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,246,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,AM_HEALHOMUN,Heal_Homunculus,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,241,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,AM_RESURRECTHOMUN,Resurrect_Homunculus,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,246,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,CR_TRUST,Faith,0,10,,,,,,,,,,,,,,,,,,200,400,600,800,1000,1200,1400,1600,1800,2000,5,10,15,20,25,30,35,40,45,50,,,16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,CR_AUTOGUARD,Shield_Guard,4,10,12,14,16,18,20,22,24,26,28,30,,,,,,,,300,300,300,300,300,300,300,300,300,300,5,10,14,18,21,24,26,28,29,30,,58,16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,CR_SHIELDCHARGE,Shield_Charge,1,5,10,10,10,10,10,,,,,,,,,,,3,,120,140,160,180,200,,,,,,4,,,,,,,,,,,,16384,249,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,CR_SHIELDBOOMERANG,Shield_Boomerang,1,5,12,12,12,12,12,,,,,,,,,,,9,,150,200,250,300,350,,,,,,3,5,7,9,11,,,,,,,,16384,250,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,CR_REFLECTSHIELD,Shield_Reflect,4,10,35,40,45,50,55,60,65,70,75,80,,,,,,,,275,280,285,290,295,300,305,310,315,320,13,16,19,22,25,28,31,34,37,40,,59,16384,251,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,CR_HOLYCROSS,Holy_Cross,1,10,11,12,13,14,15,16,17,18,19,20,,,,,,1,6,135,170,205,240,275,310,345,380,415,450,3,6,9,12,15,18,21,24,27,30,,,16384,248,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,CR_GRANDCROSS,Grand_Cross,4,10,37,44,51,58,65,72,78,86,93,100,,,3000,,,6,6,140,180,220,260,300,340,380,420,460,700,3,6,9,12,15,18,21,24,27,30,6,,16384,248,10,253,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,CR_DEVOTION,Sacrifice,4,5,25,25,25,25,25,,,,,,,,3000,,,,,60,120,180,240,300,,,,,,,,,,,,,,,,,,16384,252,5,254,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,CR_PROVIDENCE,Providence,4,5,30,30,30,30,30,,,,,,,,3000,,,,,180,180,180,180,180,,,,,,5,10,15,20,25,,,,,,,61,16384,22,5,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,CR_DEFENDER,Defender,4,5,30,30,30,30,30,,,,,,,,,,,,,180,180,180,180,180,,,,,,20,35,50,65,80,,,,,,,62,16384,251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,CR_SPEARQUICKEN,Spear_Quicken,4,10,24,28,32,36,40,44,48,52,56,60,,,,,,,,30,60,90,120,150,180,210,240,270,300,,,,,,,,,,,,68,16384,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,MO_IRONHAND,Iron_Hand,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,32768,23,10,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,MO_SPIRITSRECOVERY,Spirits_Recovery,0,5,,,,,,,,,,,,,,,,,,4,8,12,16,20,,,,,,2,4,6,8,10,,,,,,,,32768,269,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,MO_CALLSPIRITS,Call_Spirits,4,5,15,15,15,15,15,,,,,,,,1500,,,,,1,1,1,1,1,,,,,,1,2,3,4,5,,,,,,,,32768,259,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,MO_ABSORBSPIRITS,Absorb_Spirits,4,1,5,,,,,,,,,,,,2000,,,,,7,,,,,,,,,,10,,,,,,,,,,,,32768,261,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,MO_TRIPLEATTACK,Triple_Attack,0,10,,,,,,,,,,,,,,,,1,,29,28,27,26,25,24,23,22,21,20,120,140,160,180,200,220,240,260,280,300,,,32768,265,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,MO_BODYRELOCATION,Body_Relocation,2,1,10,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,13,32768,271,3,268,3,260,2,,,,,,,,,,,,,,,,,,,,,,,,,,
265,MO_DODGE,Dodge,0,10,,,,,,,,,,,,,,,,,,2,4,6,8,10,12,14,16,18,20,,,,,,,,,,,,,32768,259,5,261,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,MO_INVESTIGATE,Investigate,1,5,10,14,17,19,20,,,,,,,,,,,3,,175,250,325,400,475,,,,,,,,,,,,,,,,,,32768,261,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,MO_FINGEROFFENSIVE,Finger_Offensive,1,5,10,10,10,10,10,,,,,,,,1000,1000,,9,,150,175,200,225,250,,,,,,1,2,3,4,5,,,,,,,,32768,266,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,MO_STEELBODY,Steel_Body,4,5,200,200,200,200,200,,,,,,,,5000,,,3,,30,60,90,120,150,,,,,,,,,,,,,,,,,87,32768,273,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,MO_BLADESTOP,Blade_Stop,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32768,265,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,MO_EXPLOSIONSPIRITS,Explosion_Spirits,4,5,15,15,15,15,15,,,,,,,,,,,,,180,180,180,180,180,,,,,,100,125,150,175,200,,,,,,,86,32768,262,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,MO_EXTREMITYFIST,Extremity_Fist,1,5,5,5,5,5,5,,,,,,,,4500,-500,2000,,,400,550,700,850,1000,,,,,,400,550,700,850,1000,,,,,,,,32768,270,3,267,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,MO_CHAINCOMBO,Chain_Combo,4,5,17,19,21,23,25,,,,,,,,,,,1,,200,250,300,350,400,,,,,,,,,,,,,,,,,,32768,263,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,MO_COMBOFINISH,Combo_Finish,4,5,23,26,29,32,35,,,,,,,,,,,1,,300,360,420,480,540,,,,,,,,,,,,,,,,,,32768,272,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,SA_ADVANCEDBOOK,Advanced_Book,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,65536,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,SA_CASTCANCEL,Cast_Cancel,4,5,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,90,70,50,30,10,,,,,,,,65536,274,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,SA_MAGICROD,Magic_Rod,4,5,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536,274,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,SA_SPELLBREAKER,Spell_Breaker,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536,276,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,SA_FREECAST,Free_Cast,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536,275,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,SA_AUTOSPELL,Auto_Spell,4,10,35,35,35,35,35,35,35,35,35,35,,,3000,,,,,120,150,180,210,240,270,300,330,360,390,7,9,11,13,15,17,19,21,23,25,,65,65536,278,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,SA_FLAMELAUNCHER,Flame_Launcher,16,5,40,40,40,40,40,,,,,,,,3000,,,9,,1200,1200,1200,1200,1200,,,,,,80,85,90,95,100,,,,,,,90,65536,19,1,274,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,SA_FROSTWEAPON,Frost_Weapon,16,5,40,40,40,40,40,,,,,,,,3000,,,9,,1200,1200,1200,1200,1200,,,,,,80,85,90,95,100,,,,,,,91,65536,14,1,274,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,SA_LIGHTNINGLOADER,Lightning_Loader,16,5,40,40,40,40,40,,,,,,,,3000,,,9,,1200,1200,1200,1200,1200,,,,,,80,85,90,95,100,,,,,,,92,65536,20,1,274,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,SA_SEISMICWEAPON,Seismic_Weapon,16,5,40,40,40,40,40,,,,,,,,3000,,,9,,1200,1200,1200,1200,1200,,,,,,80,85,90,95,100,,,,,,,93,65536,16,1,274,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,SA_DRAGONOLOGY,Dragonology,0,5,,,,,,,,,,,,,,,,,,4,8,12,16,200,,,,,,4,8,12,16,20,,,,,,,,65536,274,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,SA_VOLCANO,Volcano,2,5,48,46,44,42,40,,,,,,,,5000,,,2,,10,14,17,19,20,,,,,,10,20,30,40,50,,,,,,,,65536,280,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,SA_DELUGE,Deluge,2,5,52,54,56,58,60,,,,,,,,5000,,,2,,10,14,17,19,20,,,,,,5,9,12,14,15,,,,,,,,65536,281,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,SA_VIOLENTGALE,Violent_Gale,2,5,52,54,56,58,60,,,,,,,,5000,,,2,,10,14,17,19,20,,,,,,3,6,9,12,15,,,,,,,,65536,282,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,SA_LANDPROTECTOR,Land_Protector,2,5,74,78,82,86,90,,,,,,,,5000,,,2,,120,165,210,255,300,,,,,,7,7,9,9,11,,,,,,,,65536,285,3,286,3,287,3,,,,,,,,,,,,,,,,,,,,,,,,,,
289,SA_DISPELL,Dispell,1,5,10,10,10,10,10,,,,,,,,,2000,,9,,60,70,80,90,100,,,,,,,,,,,,,,,,,,65536,277,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,SA_ABRACADABRA,Abracadabra,1,1,50,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,65536,279,5,289,1,288,1,,,,,,,,,,,,,,,,,,,,,,,,,,
291,SA_MONOCELL,Aspd_Potions,4,3,1,1,1,,,,,,,,,,,,,,,1800,1800,1800,,,,,,,,95,92,85,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,SA_CLASSCHANGE,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,SA_SUMMONMONSTER,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,SA_REVERSEORCISH,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,SA_DEATH,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,SA_FORTUNE,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,SA_TAMINGMONSTER,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,SA_QUESTION,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,SA_GRAVITY,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,SA_LEVELUP,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,SA_INSTANTDEATH,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,SA_FULLRECOVERY,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,SA_COMA,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,BD_ADAPTATION,Adaptation_to_Circumstances,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1572864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,BD_ENCORE,Encore,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572864,304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,BD_LULLABY,Lullaby,2,1,20,,,,,,,,,,,,,,,,4,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,1,,524288,319,10,,,,,,,,,1048576,327,10,,,,,,,,,,,,,,,,,,,
307,BD_RICHMANKIM,Mr._Kim_a_Rich_Man,2,5,20,20,20,20,20,,,,,,,,,,,,3,60,60,60,60,60,,,,,,150,175,200,225,250,,,,,,1,,1572864,313,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,BD_ETERNALCHAOS,Eternal_Chaos,2,1,30,,,,,,,,,,,,,,,,4,60,60,60,60,60,,,,,,,,,,,,,,,,1,,1572864,311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,BD_DRUMBATTLEFIELD,The_Sound_of_a_Drum_on_the_Battlefield,2,5,38,41,44,47,50,,,,,,,,2000,500,,,3,60,60,60,60,60,,,,,,50,75,100,125,150,4,6,8,10,12,1,,524288,322,10,,,,,,,,,1048576,330,10,,,,,,,,,,,,,,,,,,,
310,BD_RINGNIBELUNGEN,The_Ring_of_Nibelungen,2,5,38,41,44,47,50,,,,,,,,,,,,3,60,60,60,60,60,,,,,,150,200,250,300,350,,,,,,1,,1572864,309,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,BD_ROKISWEIL,Loki's_Wail,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,524288,320,10,,,,,,,,,1048576,328,10,,,,,,,,,,,,,,,,,,,
312,BD_INTOABYSS,Into_The_Abyss,2,1,10,,,,,,,,,,,,,,,,5,60,,,,,,,,,,,,,,,,,,,,1,,1572864,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,BD_SIEGFRIED,Invulnerable_Siegfried,2,5,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,524288,321,10,,,,,,,,,1048576,329,10,,,,,,,,,,,,,,,,,,,
314,BD_RAGNAROK,Ragnarok,2,1,,,,,,,,,,,,,,,,,,60,60,60,60,60,,,,,,,,,,,,,,,,1,,1572864,312,1,308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,BA_MUSICALLESSON,Musical_Lesson,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,BA_MUSICALSTRIKE,Musical_Strike,1,5,8,8,8,8,8,,,,,,,,1500,,,9,,150,175,200,225,250,,,,,,,,,,,,,,,,,,524288,315,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,BA_DISSONANCE,Dissonance,2,5,18,21,24,27,30,,,,,,,,,,,,3,40,50,60,70,80,,,,,,,,,,,,,,,,1,,524288,315,1,304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,BA_FROSTJOKE,Frost_Joke,2,5,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,524288,305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,BA_WHISTLE,A_Whistle,2,10,24,28,32,36,40,44,48,52,56,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,524288,317,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,BA_ASSASSINCROSS,Assassin_Cross_of_Sunset,2,10,38,41,44,47,50,53,56,59,62,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,524288,317,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,BA_POEMBRAGI,A_Poem_of_Bragi,2,10,40,45,50,55,60,65,70,75,80,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,524288,317,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,BA_APPLEIDUN,The_Apple_of_Idun,2,10,40,45,50,55,60,65,70,75,80,85,,,,,,,6,4,7,10,13,16,19,22,25,28,31,200,200,200,200,300,300,300,400,400,500,1,,524288,317,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,DC_DANCINGLESSON,Dancing_Lesson,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,DC_THROWARROW,Throw_Arrow,1,5,8,8,8,8,8,,,,,,,,,,,8,,200,300,400,500,600,,,,,,,,,,,,,,,,,,1048576,323,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,DC_UGLYDANCE,Ugly_Dance,2,5,23,26,29,32,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1048576,304,1,323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,DC_SCREAM,Scream,2,5,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1048576,305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,DC_HUMMING,Humming,2,10,22,24,26,28,30,32,34,36,38,40,,,,,,,,2,4,6,8,10,12,14,16,18,20,,,,,,,,,,,1,,1048576,325,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,DC_DONTFORGETME,Please_Don't_Forget_Me,2,10,28,31,34,37,40,43,46,49,52,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1048576,325,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,DC_FORTUNEKISS,Fortune's_Kiss,2,10,43,46,49,52,55,58,61,64,67,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1048576,325,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,DC_SERVICEFORYOU,Service_For_You,2,10,38,41,44,47,50,53,56,59,62,65,,,,,,,,180,180,180,180,180,180,180,180,180,180,13,16,19,22,25,28,31,34,37,40,1,,1048576,325,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,SA_CLASSCHANGE,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,SA_SUMMONMONSTER,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,SA_REVERSEORCISH,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,WE_MALE,Please_Don't_Forget_Me,2,10,28,31,34,37,40,43,46,49,52,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4194304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,WE_FEMALE,Fortune's_Kiss,2,10,43,46,49,52,55,58,61,64,67,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4194304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,WE_CALLPARTNER,Service_For_You,2,10,38,41,44,47,50,53,56,59,62,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4194304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
